LoanID,CustomerID,CIBIL_Score,Annual_Income_INR,Employment_Type,Vehicle_Model,Loan_Amount_INR,Interest_Rate_Pct,Tenure_Months,Monthly_EMI_INR,FOIR_Pct,NPA_Probability,Risk_Category
900038,100038,641,1634773,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),707703,13.68,60,16349,0.12,0.2584,Low Risk (Safe)
900039,100039,670,1151465,Salaried,Kia Seltos (Mid-Size SUV),1632662,11.6,60,35988,0.375,0.2722,Low Risk (Safe)
900040,100040,738,451466,Salaried,Honda City (Premium Sedan),1175085,10.49,48,30080,0.8,0.4527,Medium Risk (Monitor)
900041,100041,763,2158376,Salaried,Maruti Suzuki Swift (Hatchback),580673,9.79,48,14668,0.082,0.0819,Low Risk (Safe)
900042,100042,737,3800000,Salaried,Maruti Suzuki Swift (Hatchback),575311,10.21,84,9613,0.03,0.0682,Low Risk (Safe)
900043,100043,724,3800000,Salaried,Honda City (Premium Sedan),1397833,9.62,84,22932,0.072,0.0953,Low Risk (Safe)
900044,100044,716,1704184,Self-Employed Professional,Tata Nexon EV (Electric SUV),1301395,12.43,36,43492,0.306,0.3161,Low Risk (Safe)
900045,100045,663,1573453,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),624942,12.42,48,16586,0.126,0.251,Low Risk (Safe)
900046,100046,697,2835775,Salaried,Hyundai Venue (Compact SUV),923747,11.22,60,20185,0.085,0.1145,Low Risk (Safe)
900047,100047,709,1265386,Self-Employed Professional,Tata Nexon EV (Electric SUV),1435173,11.27,48,37281,0.354,0.3434,Low Risk (Safe)
900048,100048,777,2586938,Salaried,Toyota Innova Hycross (Hybrid MPV),2216606,10.0,60,47096,0.218,0.1434,Low Risk (Safe)
900049,100049,745,3339541,Salaried,Toyota Innova Hycross (Hybrid MPV),2306519,10.15,48,58665,0.211,0.1549,Low Risk (Safe)
900050,100050,650,3800000,Salaried,Honda City (Premium Sedan),1404447,11.01,60,30543,0.096,0.1421,Low Risk (Safe)
900051,100051,744,2073845,Self-Employed Professional,Hyundai Venue (Compact SUV),1024850,9.56,48,25776,0.149,0.2244,Low Risk (Safe)
900052,100052,712,1959068,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1495325,11.9,60,33187,0.203,0.2664,Low Risk (Safe)
900053,100053,699,1352018,Self-Employed Professional,Tata Nexon EV (Electric SUV),1243902,12.2,36,41434,0.368,0.3551,Low Risk (Safe)
900054,100054,757,1390558,Salaried,Tata Nexon EV (Electric SUV),1345412,9.98,60,28572,0.247,0.1673,Low Risk (Safe)
900055,100055,776,1934649,Salaried,Maruti Suzuki Swift (Hatchback),656693,9.58,84,10759,0.067,0.0683,Low Risk (Safe)
900056,100056,771,2681940,Salaried,Honda City (Premium Sedan),1207557,10.06,60,25692,0.115,0.0947,Low Risk (Safe)
900057,100057,692,3621763,Salaried,Kia Seltos (Mid-Size SUV),1630855,12.13,72,31993,0.106,0.1274,Low Risk (Safe)
900058,100058,716,1408803,Self-Employed Professional,Tata Nexon EV (Electric SUV),1446683,11.88,72,28192,0.24,0.2831,Low Risk (Safe)
900059,100059,744,3800000,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1758077,10.35,84,29505,0.093,0.1964,Low Risk (Safe)
900060,100060,773,1887723,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),698850,10.02,72,12953,0.082,0.1772,Low Risk (Safe)
900061,100061,708,2165686,Salaried,Tata Nexon EV (Electric SUV),1553562,12.14,60,34668,0.192,0.1628,Low Risk (Safe)
900062,100062,721,1452844,Salaried,Toyota Innova Hycross (Hybrid MPV),2220073,10.31,72,41476,0.343,0.2322,Low Risk (Safe)
900063,100063,680,577617,Salaried,Tata Nexon EV (Electric SUV),1413178,11.37,36,46513,0.966,0.563,Medium Risk (Monitor)
900064,100064,676,3563397,Salaried,Honda City (Premium Sedan),1216009,12.09,60,27104,0.091,0.1274,Low Risk (Safe)
900065,100065,766,3286271,Salaried,Mahindra XUV700 (Premium SUV),1905705,9.93,84,31568,0.115,0.097,Low Risk (Safe)
900066,100066,791,1877158,Self-Employed Professional,Hyundai Venue (Compact SUV),864523,9.05,72,15604,0.1,0.1778,Low Risk (Safe)
900067,100067,726,2273531,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1514825,10.41,84,25469,0.134,0.2254,Low Risk (Safe)
900068,100068,775,2910299,Salaried,Maruti Suzuki Swift (Hatchback),706196,9.67,72,12965,0.053,0.0618,Low Risk (Safe)
900069,100069,746,927826,Salaried,Hyundai Venue (Compact SUV),935675,9.79,72,17235,0.223,0.1604,Low Risk (Safe)
900070,100070,700,1638056,Salaried,Hyundai Venue (Compact SUV),843241,11.36,72,16206,0.119,0.1301,Low Risk (Safe)
900071,100071,746,3391712,Salaried,Tata Nexon EV (Electric SUV),1442100,9.76,72,26541,0.094,0.0959,Low Risk (Safe)
900072,100072,799,1099252,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1431578,9.02,60,29731,0.325,0.2865,Low Risk (Safe)
900073,100073,728,2575249,Salaried,Tata Nexon EV (Electric SUV),1519955,10.1,84,25311,0.118,0.1164,Low Risk (Safe)
900074,100074,800,1039115,Salaried,Kia Seltos (Mid-Size SUV),1464637,8.77,72,26233,0.303,0.175,Low Risk (Safe)
900075,100075,612,2832121,Salaried,Mahindra XUV700 (Premium SUV),1813706,14.56,72,37918,0.161,0.1925,Low Risk (Safe)
900076,100076,766,2148750,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),867043,9.87,60,18366,0.103,0.191,Low Risk (Safe)
900077,100077,733,901375,Salaried,Kia Seltos (Mid-Size SUV),1581567,10.22,60,33775,0.45,0.2801,Low Risk (Safe)
900078,100078,716,3800000,Salaried,Maruti Suzuki Swift (Hatchback),602338,11.3,36,19805,0.063,0.0946,Low Risk (Safe)
900079,100079,734,1462963,Salaried,Maruti Suzuki Swift (Hatchback),677585,9.92,84,11220,0.092,0.1006,Low Risk (Safe)
900080,100080,640,1403333,Self-Employed Professional,Tata Nexon EV (Electric SUV),1305442,15.01,60,31063,0.266,0.3318,Low Risk (Safe)
900081,100081,720,2446852,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),895771,9.87,48,22663,0.111,0.2167,Low Risk (Safe)
900082,100082,746,3800000,Salaried,Maruti Suzuki Swift (Hatchback),632323,10.44,48,16171,0.051,0.0744,Low Risk (Safe)
900083,100083,796,1253309,Self-Employed Non-Professional,Mahindra XUV700 (Premium SUV),2158870,8.68,72,38572,0.369,0.3099,Low Risk (Safe)
900084,100084,706,2266900,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1544971,11.72,72,29979,0.159,0.2473,Low Risk (Safe)
900085,100085,693,2774133,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1305767,11.07,72,24900,0.108,0.2279,Low Risk (Safe)
900086,100086,707,3208159,Self-Employed Professional,Honda City (Premium Sedan),1232465,12.23,60,27558,0.103,0.2188,Low Risk (Safe)
900087,100087,771,2414596,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1793723,9.68,60,37829,0.188,0.2312,Low Risk (Safe)
900088,100088,744,1790731,Salaried,Kia Seltos (Mid-Size SUV),1490994,9.8,60,31532,0.211,0.1554,Low Risk (Safe)
900089,100089,706,1390015,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),631587,11.02,36,20683,0.179,0.2573,Low Risk (Safe)
900090,100090,753,2297607,Salaried,Mahindra XUV700 (Premium SUV),2139349,9.58,72,39181,0.205,0.1481,Low Risk (Safe)
900091,100091,734,1215083,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1638001,10.31,36,53092,0.524,0.4166,Low Risk (Safe)
900092,100092,773,450000,Salaried,Mahindra XUV700 (Premium SUV),1901440,10.22,60,40606,1.083,0.5777,Medium Risk (Monitor)
900093,100093,698,2785973,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2460208,12.18,60,54950,0.237,0.29,Low Risk (Safe)
900094,100094,715,3602592,Self-Employed Professional,Hyundai Venue (Compact SUV),1022171,11.38,60,22418,0.075,0.201,Low Risk (Safe)
900095,100095,712,597426,Salaried,Maruti Suzuki Swift (Hatchback),683506,12.15,84,12120,0.243,0.1864,Low Risk (Safe)
900096,100096,664,1257515,Self-Employed Professional,Tata Nexon EV (Electric SUV),1238706,12.03,36,41160,0.393,0.384,Low Risk (Safe)
900097,100097,743,3080291,Salaried,Hyundai Venue (Compact SUV),895413,10.33,72,16737,0.065,0.0829,Low Risk (Safe)
900098,100098,741,3800000,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1460120,9.54,36,46799,0.148,0.2253,Low Risk (Safe)
900099,100099,730,2216492,Salaried,Maruti Suzuki Swift (Hatchback),596957,9.52,36,19127,0.104,0.1085,Low Risk (Safe)
900100,100100,719,1468274,Salaried,Honda City (Premium Sedan),1184871,11.68,60,26165,0.214,0.1686,Low Risk (Safe)
900101,100101,666,1981583,Self-Employed Non-Professional,Honda City (Premium Sedan),1136335,12.32,36,37916,0.23,0.3016,Low Risk (Safe)
900102,100102,711,3800000,Salaried,Maruti Suzuki Swift (Hatchback),659005,11.63,72,12757,0.04,0.0854,Low Risk (Safe)
900103,100103,714,1536042,Self-Employed Professional,Hyundai Venue (Compact SUV),882752,12.26,60,19752,0.154,0.241,Low Risk (Safe)
900104,100104,693,1411896,Salaried,Kia Seltos (Mid-Size SUV),1330821,11.89,36,44132,0.375,0.2614,Low Risk (Safe)
900105,100105,722,1680313,Salaried,Honda City (Premium Sedan),1194293,10.34,36,38727,0.277,0.1987,Low Risk (Safe)
900106,100106,748,1297135,Salaried,Tata Nexon EV (Electric SUV),1502131,9.5,60,31547,0.292,0.194,Low Risk (Safe)
900107,100107,814,2344232,Salaried,Hyundai Venue (Compact SUV),1012327,8.86,72,18177,0.093,0.0634,Low Risk (Safe)
900108,100108,737,3800000,Salaried,Tata Nexon EV (Electric SUV),1396911,9.53,60,29358,0.093,0.0997,Low Risk (Safe)
900109,100109,741,2617404,Salaried,Toyota Innova Hycross (Hybrid MPV),2416320,9.83,60,51137,0.234,0.1683,Low Risk (Safe)
900110,100110,726,1907312,Salaried,Hyundai Venue (Compact SUV),1040127,10.41,72,19484,0.123,0.1199,Low Risk (Safe)
900111,100111,643,1866366,Salaried,Toyota Innova Hycross (Hybrid MPV),2291327,15.49,60,55101,0.354,0.2744,Low Risk (Safe)
900112,100112,728,927497,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),594803,10.11,48,15117,0.196,0.2554,Low Risk (Safe)
900113,100113,732,3561564,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),606280,9.95,60,12866,0.043,0.177,Low Risk (Safe)
900114,100114,840,2099457,Salaried,Hyundai Venue (Compact SUV),863006,8.53,60,17718,0.101,0.0552,Low Risk (Safe)
900115,100115,721,1984219,Self-Employed Professional,Hyundai Venue (Compact SUV),908460,9.62,72,16656,0.101,0.2112,Low Risk (Safe)
900116,100116,743,3800000,Salaried,Hyundai Venue (Compact SUV),1025383,9.71,60,21640,0.068,0.0844,Low Risk (Safe)
900117,100117,728,2582617,Self-Employed Professional,Tata Nexon EV (Electric SUV),1440564,9.53,84,23566,0.11,0.2124,Low Risk (Safe)
900118,100118,677,1449189,Self-Employed Professional,Hyundai Venue (Compact SUV),915628,11.8,48,24022,0.199,0.2809,Low Risk (Safe)
900119,100119,781,1733240,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),702661,8.9,84,11269,0.078,0.1715,Low Risk (Safe)
900120,100120,763,3800000,Salaried,Hyundai Venue (Compact SUV),835662,10.37,60,17907,0.057,0.0694,Low Risk (Safe)
900121,100121,765,2332144,Self-Employed Professional,Honda City (Premium Sedan),1188082,10.1,60,25301,0.13,0.205,Low Risk (Safe)
900122,100122,689,993458,Salaried,Tata Nexon EV (Electric SUV),1424243,11.8,36,47169,0.57,0.3608,Low Risk (Safe)
900123,100123,793,3633023,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1440632,8.59,60,29619,0.098,0.1758,Low Risk (Safe)
900124,100124,666,1517417,Salaried,Mahindra XUV700 (Premium SUV),1743196,11.55,72,33673,0.266,0.2196,Low Risk (Safe)
900125,100125,756,3800000,Self-Employed Professional,Honda City (Premium Sedan),1245911,9.95,72,23050,0.073,0.1807,Low Risk (Safe)
900126,100126,828,3800000,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),659873,9.19,36,21042,0.066,0.1434,Low Risk (Safe)
900127,100127,685,1713370,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2579880,11.01,60,56105,0.393,0.3741,Low Risk (Safe)
900128,100128,704,3800000,Salaried,Toyota Innova Hycross (Hybrid MPV),2545121,11.71,36,84182,0.266,0.2017,Low Risk (Safe)
900129,100129,734,2274613,Self-Employed Non-Professional,Mahindra XUV700 (Premium SUV),1872459,10.32,84,31395,0.166,0.2376,Low Risk (Safe)
900130,100130,707,3502632,Salaried,Maruti Suzuki Swift (Hatchback),576528,11.94,72,11253,0.039,0.0868,Low Risk (Safe)
900131,100131,660,2860774,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2422725,12.47,36,81014,0.34,0.3594,Low Risk (Safe)
900132,100132,733,1375742,Salaried,Maruti Suzuki Swift (Hatchback),581813,9.5,72,10632,0.093,0.1016,Low Risk (Safe)
900133,100133,682,1538083,Salaried,Mahindra XUV700 (Premium SUV),2160906,12.23,84,38412,0.3,0.2291,Low Risk (Safe)
900134,100134,751,3800000,Salaried,Toyota Innova Hycross (Hybrid MPV),2450599,9.61,60,51598,0.163,0.1281,Low Risk (Safe)
900135,100135,688,1822780,Salaried,Maruti Suzuki Swift (Hatchback),610088,11.74,72,11845,0.078,0.1152,Low Risk (Safe)
900136,100136,799,1755024,Salaried,Kia Seltos (Mid-Size SUV),1580706,8.52,60,32445,0.222,0.135,Low Risk (Safe)
900137,100137,694,1295856,Salaried,Maruti Suzuki Swift (Hatchback),637192,12.33,60,14280,0.132,0.1394,Low Risk (Safe)
900138,100138,715,2766184,Salaried,Kia Seltos (Mid-Size SUV),1421011,12.18,60,31739,0.138,0.1325,Low Risk (Safe)
900139,100139,766,3800000,Self-Employed Professional,Tata Nexon EV (Electric SUV),1505449,10.44,60,32313,0.102,0.1905,Low Risk (Safe)
900140,100140,674,1218165,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),692572,11.82,60,15342,0.151,0.2583,Low Risk (Safe)
900141,100141,740,2220672,Salaried,Maruti Suzuki Swift (Hatchback),663451,9.51,48,16671,0.09,0.0968,Low Risk (Safe)
900142,100142,788,3800000,Salaried,Honda City (Premium Sedan),1139089,8.79,72,20414,0.064,0.0612,Low Risk (Safe)
900143,100143,657,2097375,Salaried,Maruti Suzuki Swift (Hatchback),647448,11.73,60,14313,0.082,0.1318,Low Risk (Safe)
900144,100144,738,2810307,Salaried,Maruti Suzuki Swift (Hatchback),676994,9.75,60,14300,0.061,0.0832,Low Risk (Safe)
900145,100145,741,1221614,Self-Employed Professional,Hyundai Venue (Compact SUV),855030,9.83,72,15766,0.155,0.2288,Low Risk (Safe)
900146,100146,765,2773356,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1830188,9.77,60,38679,0.167,0.2235,Low Risk (Safe)
900147,100147,674,1976959,Salaried,Tata Nexon EV (Electric SUV),1528723,11.03,60,33261,0.202,0.1838,Low Risk (Safe)
900148,100148,670,3768363,Salaried,Maruti Suzuki Swift (Hatchback),565518,12.29,84,10070,0.032,0.1007,Low Risk (Safe)
900149,100149,753,3800000,Salaried,Hyundai Venue (Compact SUV),990599,10.01,72,18356,0.058,0.0746,Low Risk (Safe)
900150,100150,743,3800000,Self-Employed Professional,Maruti Suzuki Swift (Hatchback),633565,10.17,48,16120,0.051,0.1759,Low Risk (Safe)
900151,100151,741,3014059,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),629515,9.89,60,13341,0.053,0.1778,Low Risk (Safe)
900152,100152,745,2621318,Salaried,Tata Nexon EV (Electric SUV),1239841,9.75,84,20423,0.093,0.0959,Low Risk (Safe)
900153,100153,699,2438543,Salaried,Toyota Innova Hycross (Hybrid MPV),2650250,12.48,60,59598,0.293,0.2176,Low Risk (Safe)
900154,100154,740,1804435,Self-Employed Non-Professional,Maruti Suzuki Swift (Hatchback),616473,9.85,60,13052,0.087,0.1953,Low Risk (Safe)
900155,100155,743,2639674,Self-Employed Non-Professional,Hyundai Venue (Compact SUV),943968,10.24,48,24050,0.109,0.2049,Low Risk (Safe)
900156,100156,697,1862684,Salaried,Hyundai Venue (Compact SUV),974006,11.46,48,25391,0.164,0.154,Low Risk (Safe)
900157,100157,813,2404021,Salaried,Honda City (Premium Sedan),1335788,9.17,72,24191,0.121,0.0779,Low Risk (Safe)
900158,100158,751,3800000,Salaried,Honda City (Premium Sedan),1411794,9.73,72,25962,0.082,0.0876,Low Risk (Safe)
900159,100159,676,1259721,Salaried,Kia Seltos (Mid-Size SUV),1498468,11.36,84,25941,0.247,0.2054,Low Risk (Safe)
900160,100160,759,3800000,Salaried,Maruti Suzuki Swift (Hatchback),622457,10.07,72,11553,0.036,0.0608,Low Risk (Safe)
900161,100161,686,3800000,Salaried,Maruti Suzuki Swift (Hatchback),705555,11.94,48,18559,0.059,0.1067,Low Risk (Safe)
900162,100162,765,2053512,Salaried,Hyundai Venue (Compact SUV),966264,10.05,36,31201,0.182,0.131,Low Risk (Safe)
900163,100163,782,682132,Salaried,Hyundai Venue (Compact SUV),890593,9.2,84,14419,0.254,0.159,Low Risk (Safe)
900164,100164,693,1568606,Self-Employed Professional,Tata Nexon EV (Electric SUV),1279233,11.05,60,27845,0.213,0.2804,Low Risk (Safe)
900165,100165,773,3800000,Salaried,Kia Seltos (Mid-Size SUV),1607394,10.22,60,34326,0.108,0.0902,Low Risk (Safe)
900166,100166,748,2163899,Salaried,Kia Seltos (Mid-Size SUV),1439263,9.61,84,23604,0.131,0.1135,Low Risk (Safe)
900167,100167,766,1264748,Salaried,Kia Seltos (Mid-Size SUV),1543664,10.25,60,32988,0.313,0.196,Low Risk (Safe)
900168,100168,815,1660075,Salaried,Hyundai Venue (Compact SUV),928579,8.51,48,22892,0.165,0.099,Low Risk (Safe)
900169,100169,718,3479297,Self-Employed Non-Professional,Toyota Innova Hycross (Hybrid MPV),2290379,11.09,72,43700,0.151,0.2376,Low Risk (Safe)
900170,100170,696,2960010,Salaried,Hyundai Venue (Compact SUV),957371,11.32,84,16554,0.067,0.106,Low Risk (Safe)
900171,100171,689,1921443,Salaried,Maruti Suzuki Swift (Hatchback),571602,12.5,36,19122,0.119,0.1353,Low Risk (Safe)
900172,100172,693,1790931,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2414738,11.65,72,46770,0.313,0.3304,Low Risk (Safe)
900173,100173,726,1766539,Salaried,Maruti Suzuki Swift (Hatchback),644492,9.94,60,13674,0.093,0.1049,Low Risk (Safe)
900174,100174,745,1319382,Self-Employed Non-Professional,Tata Nexon EV (Electric SUV),1381395,9.69,60,29140,0.265,0.2819,Low Risk (Safe)
900175,100175,742,3800000,Salaried,Hyundai Venue (Compact SUV),989707,9.99,84,16425,0.052,0.0768,Low Risk (Safe)
900176,100176,767,1835309,Salaried,Toyota Innova Hycross (Hybrid MPV),2655196,10.33,84,44533,0.291,0.1846,Low Risk (Safe)
900177,100177,730,3800000,Salaried,Kia Seltos (Mid-Size SUV),1582435,10.45,48,40477,0.128,0.1205,Low Risk (Safe)
900178,100178,795,3800000,Salaried,Hyundai Venue (Compact SUV),833538,9.17,48,20809,0.066,0.0589,Low Risk (Safe)
900179,100179,718,3794529,Self-Employed Professional,Kia Seltos (Mid-Size SUV),1380445,11.91,36,45791,0.145,0.2346,Low Risk (Safe)
900180,100180,850,1728230,Self-Employed Professional,Hyundai Venue (Compact SUV),943053,8.67,60,19425,0.135,0.1675,Low Risk (Safe)
900181,100181,758,2736120,Salaried,Tata Nexon EV (Electric SUV),1545991,9.81,36,49746,0.218,0.1523,Low Risk (Safe)
900182,100182,691,2162320,Salaried,Toyota Innova Hycross (Hybrid MPV),2659274,11.87,60,58979,0.327,0.2383,Low Risk (Safe)
900183,100183,681,1333028,Self-Employed Professional,Toyota Innova Hycross (Hybrid MPV),2663670,11.25,36,87520,0.788,0.5735,Medium Risk (Monitor)
900184,100184,751,2619247,Self-Employed Non-Professional,Honda City (Premium Sedan),1215962,10.06,60,25871,0.119,0.2061,Low Risk (Safe)
900185,100185,719,1145702,Salaried,Maruti Suzuki Swift (Hatchback),626917,11.52,36,20679,0.217,0.1701,Low Risk (Safe)
900186,100186,762,3800000,Salaried,Mahindra XUV700 (Premium SUV),1941524,9.79,72,35763,0.113,0.0979,Low Risk (Safe)
900187,100187,751,1697149,Salaried,Mahindra XUV700 (Premium SUV),1797390,9.53,48,45181,0.319,0.2061,Low Risk (Safe)
900188,100188,726,2447647,Self-Employed Non-Professional,Honda City (Premium Sedan),1134320,10.32,60,24279,0.119,0.2179,Low Risk (Safe)
900189,100189,691,2560743,Salaried,Maruti Suzuki Swift (Hatchback),704535,12.41,72,13924,0.065,0.1073,Low Risk (Safe)
900190,100190,661,1900451,Salaried,Kia Seltos (Mid-Size SUV),1396749,11.44,72,26901,0.17,0.1739,Low Risk (Safe)
900191,100191,709,3025786,Self-Employed Professional,Mahindra XUV700 (Premium SUV),1835376,11.62,48,47990,0.19,0.2614,Low Risk (Safe)
900192,100192,768,1687574,Salaried,Hyundai Venue (Compact SUV),843343,10.32,36,27339,0.194,0.1356,Low Risk (Safe)
900193,100193,739,3538500,Salaried,Tata Nexon EV (Electric SUV),1543907,9.62,72,28307,0.096,0.1002,Low Risk (Safe)
900194,100194,673,1045192,Salaried,Hyundai Venue (Compact SUV),952542,11.82,60,21102,0.242,0.2043,Low Risk (Safe)
900195,100195,737,2349019,Salaried,Mahindra XUV700 (Premium SUV),2031836,10.4,72,38052,0.194,0.1502,Low Risk (Safe)
900196,100196,747,3800000,Salaried,Kia Seltos (Mid-Size SUV),1631551,10.45,60,35027,0.111,0.104,Low Risk (Safe)
900197,100197,690,1264032,Salaried,Mahindra XUV700 (Premium SUV),1883985,11.41,60,41348,0.393,0.2718,Low Risk (Safe)
900198,100198,736,1509426,Salaried,Mahindra XUV700 (Premium SUV),2010893,9.72,60,42449,0.337,0.2221,Low Risk (Safe)
900199,100199,732,2907049,Salaried,Tata Nexon EV (Electric SUV),1250303,9.87,72,23081,0.095,0.103,Low Risk (Safe)
